state,value
Alabama,835
Alaska,147
Arkansas,446
Arizona,1532
California,4868
Colorado,1015
Connecticut,1072
Delaware,338
District of Columbia,254
Florida,5088
Georgia,1537
Hawaii,203
Iowa,341
Idaho,236
Illinois,2778
Indiana,1852
Kansas,333
Kentucky,1566
Louisiana,1108
Maine,424
Maryland,2247
Massachusetts,2168
Michigan,2694
Minnesota,733
Missouri,1367
Mississippi,354
Montana,119
North Carolina,2414
North Dakota,68
Nebraska,152
New Hampshire,467
New Jersey,2685
New Mexico,493
Nevada,676
New York,3921
Ohio,5111
Oklahoma,775
Oregon,530
Pennsylvania,5388
Rhode Island,320
South Carolina,1008
South Dakota,73
Tennessee,1776
Texas,2989
Utah,650
Virginia,1507
Vermont,134
Washington,1169
Wisconsin,1177
West Virginia,974
Wyoming,69
