state,value
Alabama,775
Alaska,110
Arkansas,444
Arizona,1670
California,5348
Colorado,995
Connecticut,1069
Delaware,401
District of Columbia,254
Florida,4698
Georgia,1404
Hawaii,213
Iowa,287
Idaho,250
Illinois,2722
Indiana,1629
Kansas,345
Kentucky,1315
Louisiana,1140
Maine,345
Maryland,2324
Massachusetts,2241
Michigan,2591
Minnesota,636
Missouri,1610
Mississippi,310
Montana,125
North Carolina,2259
North Dakota,70
Nebraska,138
New Hampshire,452
New Jersey,2900
New Mexico,537
Nevada,688
New York,3697
Ohio,3980
Oklahoma,716
Oregon,547
Pennsylvania,4415
Rhode Island,317
South Carolina,1125
South Dakota,57
Tennessee,1823
Texas,3005
Utah,624
Virginia,1448
Vermont,125
Washington,1164
Wisconsin,1079
West Virginia,856
Wyoming,66
