state,value
Alabama,736
Alaska,122
Arkansas,392
Arizona,1274
California,4659
Colorado,869
Connecticut,800
Delaware,198
District of Columbia,0
Florida,3228
Georgia,1302
Hawaii,169
Iowa,309
Idaho,218
Illinois,1835
Indiana,1245
Kansas,329
Kentucky,1273
Louisiana,861
Maine,269
Maryland,1285
Massachusetts,1724
Michigan,1980
Minnesota,581
Missouri,1066
Mississippi,351
Montana,138
North Carolina,1567
North Dakota,61
Nebraska,126
New Hampshire,422
New Jersey,1454
New Mexico,501
Nevada,619
New York,2754
Ohio,3310
Oklahoma,725
Oregon,505
Pennsylvania,3264
Rhode Island,310
South Carolina,761
South Dakota,65
Tennessee,1457
Texas,2588
Utah,646
Virginia,1039
Vermont,99
Washington,1094
Wisconsin,878
West Virginia,725
Wyoming,96
