state,value
Alabama,756
Alaska,128
Arkansas,401
Arizona,1382
California,4654
Colorado,899
Connecticut,971
Delaware,282
District of Columbia,0
Florida,4728
Georgia,1394
Hawaii,191
Iowa,314
Idaho,243
Illinois,2411
Indiana,1526
Kansas,313
Kentucky,1419
Louisiana,996
Maine,353
Maryland,2044
Massachusetts,2227
Michigan,2347
Minnesota,672
Missouri,1371
Mississippi,352
Montana,119
North Carolina,1956
North Dakota,77
Nebraska,120
New Hampshire,481
New Jersey,2056
New Mexico,500
Nevada,665
New York,3638
Ohio,4329
Oklahoma,813
Oregon,506
Pennsylvania,4627
Rhode Island,326
South Carolina,879
South Dakota,69
Tennessee,2831
Texas,2601
Utah,635
Virginia,1405
Vermont,125
Washington,1102
Wisconsin,1074
West Virginia,884
Wyoming,99
